technical_rank,speaker,technical_score,snr_proxy_db,noise_floor_proxy_dbfs,rms_dbfs,peak_dbfs,crest_db,clipped_pct,silence_pct,internal_silence_gt_700ms,duration_s,technical_band,editorial_status,sample_url
105,50,95.6,26.91,-42.69,-14.8,0.0,14.8,0.0031,8.68,0,61.97,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_50.mp3
106,89,95.3,26.66,-42.24,-15.48,0.0,15.48,0.0014,6.07,0,80.67,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_89.mp3
107,81,92.4,24.58,-48.83,-21.72,0.0,21.72,0.0016,14.2,0,68.87,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_81.mp3
108,37,92.0,67.15,-83.06,-13.13,0.0,13.13,0.0028,21.01,2,68.07,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_37.mp3
109,108,92.0,43.7,-65.96,-19.01,0.0,19.01,0.0014,21.31,2,82.31,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_108.mp3
110,76,92.0,43.18,-63.1,-17.49,0.0,17.49,0.0006,22.16,2,86.29,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_76.mp3
111,117,92.0,42.98,-61.24,-15.46,0.0,15.46,0.0029,20.5,2,72.19,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_117.mp3
112,63,92.0,40.52,-60.8,-18.37,0.0,18.37,0.0012,23.19,2,68.33,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_63.mp3
113,38,92.0,36.99,-60.17,-20.17,0.0,20.17,0.0021,20.65,2,64.8,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_38.mp3
114,6,92.0,33.64,-54.32,-18.61,0.0,18.61,0.0017,13.26,2,72.57,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_6.mp3
115,73,92.0,32.67,-49.85,-15.61,0.0,15.61,0.0021,12.83,2,72.51,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_73.mp3
116,35,91.9,27.08,-46.72,-18.01,0.0,18.01,0.0012,10.89,1,69.63,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_35.mp3
117,75,90.7,23.41,-35.84,-12.6,0.0,12.6,0.004,4.34,0,58.13,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_75.mp3
118,28,88.0,70.1,-89.7,-17.47,0.0,17.47,0.0017,27.27,3,63.68,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_28.mp3
119,5,88.0,44.79,-61.4,-15.59,0.0,15.59,0.0008,19.09,3,72.71,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_5.mp3
120,23,85.4,19.62,-33.59,-15.55,0.0,15.55,0.0024,4.43,0,70.5,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_23.mp3
121,7,85.0,44.17,-62.61,-16.16,0.0,16.16,0.0027,20.03,4,75.19,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_7.mp3
122,53,85.0,41.88,-62.4,-16.68,0.0,16.68,0.0023,21.08,4,57.88,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_53.mp3
123,113,77.2,13.74,-25.03,-14.76,0.0,14.76,0.0019,3.02,0,72.81,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_113.mp3
124,58,76.0,12.89,-20.87,-14.04,0.0,14.04,0.0014,2.94,0,72.84,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_58.mp3
